english,bangla,chittagonian
"Hearing his words, I burst out laughing.",তার কথা শুনে আমি হাসি দিয়ে ফেলেছি,ইতার হথা শুনি অ্যাঁই হাসি  দি ফেলাইয়্যি
Bears never attack a dead person.,ভাল্লুক কোনদিন মরা মানুষকে আক্রমণ করে না,ভালুক হোনদিন মরা মাইনসেরে আক্রমণ ন গরে
Before the bear could even reach him.,ভাল্লুক তার কাছে আসতে না আসতে,ভালুক ইতার হাছে আইত ন আইত
He stopped breathing.,সে শ্বাস নেওয়া বন্ধ করে ফেলল,ইতে শ্বাস লন বন্ধ গরে ফেলাইলো
The bear checked his nose and cheek and realized he was dead.,ভাল্লুক তার নাক গাল পরীক্ষা করে বুঝে সে মরা,ভালুক ইতার নাক গাল পরীক্ষা গরে বুজে ইতে মরা
"After the bear left, I came down from the tree.",ভাল্লুক যাওয়ার পরে গাছ থেকে নেমে আসি,ভালুক যনঅর ফরে গাছ তুন লামি অ্যাই
"He asked, what did the bear say in your ear?",জিজ্ঞাসা করলো ভাল্লুক তোমার কানে কি বলেছে,পুঁছার গরিল ভালুক তোঁয়ার হানে কি হদ্দে
The bear gave me some advice in my ear.,ভাল্লুক আমার কানে পরামর্শ দিয়েছে,ভালুক অ্যাঁর হানত পরামর্শ দিইয়্যি
A friend doesn't stay with a friend in danger.,বন্ধু বন্ধুর বিপদে থাকে না,বন্ধু বন্ধুর বিপদত ন থাহে
"Once upon a time, a rabbit and a tortoise lived in a forest.",সময় এক জঙ্গলে একটা খরগোশ আর এক কচ্ছপ থাকে,সমত উজ্ঞো জঅলত উজ্ঞো হরগোশ আর উজ্ঞো হচ্চফ থাহে
There was a lot of friendship between the two.,দুইটার মধ্যে অনেক বন্ধুত্ব ছিল,দুইয়্যানর মাজে বহুত বন্ধুত্ব আইসসিল
It's not as if they never quarreled either.,মধ্যে যে ঝগড়া হত না সেটিও না,মাজে যে হইজ্যে ন অইত্যু ইয়ানও ন
"The rabbit could run very fast, faster than the wind.",খরগোশ বেশি জোরে দৌড়াতে পারে বাতাসের আগে আগে,হরগোশ বেশি জোরে দুরিত ফারে বাতাসর আগে আগে
And the tortoise walks slowly.,আর কচ্ছপ হাঁটে আস্তে,আর হচ্ছফ আডে আস্তে
