#,English,Bangla,Chittagonian
160,Please call me later.,পরে আমাকে ফোন করো।,পরে আঁরে ফোন গরিও।
161,The internet is very slow today.,আজ ইন্টারনেট অনেক ধীর।,আজিয়া ইন্টারনেট মেলা ধীর।
162,I am watching a video on YouTube.,আমি ইউটিউবে ভিডিও দেখছি।,আঁই ইউটিউবত ভিডিও চাইল্লুম।
163,She uses her mobile phone for online banking.,সে অনলাইন ব্যাংকিংয়ের জন্য মোবাইল ফোন ব্যবহার করে।,ইতে অনলাইন ব্যাংকিংর লাই মোবাইল ফোন ব্যবহার গরে।
164,Mobile internet has changed the way people communicate in Bangladesh.,মোবাইল ইন্টারনেট বাংলাদেশে মানুষের যোগাযোগের ধরন পরিবর্তন করে দিয়েছে।,মোবাইল ইন্টারনেট বাংলাদেশত মাইনষর যোগাযোগের নিয়ম বদলাই দিয়্যি।
165,He learned to code using free online tutorials and YouTube videos.,সে বিনামূল্যে অনলাইন টিউটোরিয়াল এবং ইউটিউব ভিডিও দিয়ে কোডিং শিখেছে।,ইতে মাগনা অনলাইন টিউটোরিয়াল আর ইউটিউব ভিডিও দি কোডিং শিখ্যি।
166,My younger sister spends too much time on social media every day.,আমার ছোট বোন প্রতিদিন সোশ্যাল মিডিয়ায় অনেক বেশি সময় কাটায়।,আঁর ছোট বইন পত্তি দিন সোশ্যাল মিডিয়াত মেলা সময় হাডায়।
167,bKash and Nagad have made it easy to send money anywhere in Bangladesh.,বিকাশ এবং নগদ বাংলাদেশে যেকোনো জায়গায় টাকা পাঠানো সহজ করে দিয়েছে।,বিকাশ আর নগদ বাংলাদেশত যেহোনো জাগাত টেঁয়া পাডানি সহজ গরি দিয়্যি।
168,The government has been working to expand digital services across the country.,সরকার সারা দেশে ডিজিটাল সেবা সম্প্রসারণে কাজ করছে।,সরকার গোট্টা দেশত ডিজিটাল সেবা বাড়াইত হাজ গরের।
169,Online classes became very common during the COVID-19 pandemic in Bangladesh.,বাংলাদেশে কোভিড-১৯ মহামারির সময় অনলাইন ক্লাস খুব সাধারণ হয়ে উঠেছিল।,বাংলাদেশত করোনা মহামারির সময় অনলাইন ক্লাস মেলা সাধারণ অই গিয়্যি।
170,I need to repair my laptop because the screen is broken.,আমার ল্যাপটপটি মেরামত করাতে হবে কারণ স্ক্রিন ভেঙে গেছে।,আঁর ল্যাপটপ গান সারন ফরিবো কারণ ইয়া স্ক্রিন ভাঙি গিয়্যি।
171,He always forgets his password and has to reset it.,সে সবসময় পাসওয়ার্ড ভুলে যায় এবং রিসেট করতে হয়।,ইতে হঁত্তিবাজে পাসওয়ার্ড ভুলি যায় আর রিসেট গরণ ফরে।
